,lambd,p,nnz,k
233,0.375,27,,1.0
234,0.375,31,,3.0
235,0.375,28,,5.0
236,0.375,25,,0.0
237,0.375,29,,6.0
238,0.375,28,,15.0
239,0.375,34,,34.0
240,0.375,43,,6.0
241,0.375,30,,4.0
242,0.375,28,,28.0
243,0.375,27,,26.0
244,0.375,31,,31.0
245,0.375,35,,6.0
246,0.375,29,,29.0
247,0.375,37,,5.0
248,0.375,25,,25.0
249,0.375,33,,21.0
250,0.375,30,,30.0
251,0.375,38,,4.0
252,0.375,28,,28.0
253,0.375,32,,32.0
254,0.375,17,,9.0
255,0.375,26,,26.0
256,0.375,31,,8.0
257,0.375,32,,4.0
258,0.375,37,,37.0
259,0.375,25,,0.0
260,0.375,30,,5.0
261,0.375,37,,0.0
262,0.375,33,,7.0
263,0.375,37,,37.0
264,0.375,39,,19.0
265,0.375,38,,26.0
266,0.375,25,,6.0
267,0.375,37,,4.0
268,0.375,29,,29.0
269,0.375,25,,6.0
270,0.375,21,,12.0
271,0.375,34,,34.0
272,0.375,32,,7.0
273,0.375,34,,11.0
274,0.375,21,,4.0
275,0.375,18,,13.0
276,0.375,32,,32.0
277,0.375,12,,0.0
278,0.375,18,,11.0
279,0.375,29,,29.0
280,0.375,21,,4.0
281,0.375,31,,31.0
282,0.375,28,,26.0
283,0.375,24,,6.0
284,0.375,28,,12.0
285,0.375,30,,5.0
286,0.375,38,,38.0
287,0.375,27,,3.0
288,0.375,35,,12.0
289,0.375,34,,34.0
290,0.375,23,,4.0
291,0.375,37,,37.0
292,0.375,44,,22.0
293,0.375,19,,0.0
294,0.375,32,,23.0
295,0.375,36,,20.0
296,0.375,41,,0.0
297,0.375,46,,6.0
298,0.375,32,,8.0
299,0.375,27,,27.0
300,0.375,23,,4.0
301,0.375,50,,4.0
302,0.375,35,,8.0
303,0.375,42,,0.0
304,0.375,21,,21.0
305,0.375,28,,23.0
306,0.375,19,,0.0
307,0.375,19,,4.0
308,0.375,37,,3.0
309,0.375,17,,4.0
310,0.375,49,,7.0
311,0.375,35,,14.0
312,0.375,30,,10.0
313,0.375,22,,7.0
314,0.375,28,,14.0
315,0.375,23,,6.0
316,0.375,28,,28.0
317,0.375,47,,7.0
318,0.375,20,,7.0
319,0.375,22,,0.0
320,0.375,34,,9.0
321,0.375,21,,21.0
322,0.375,35,,35.0
323,0.375,26,,26.0
324,0.375,19,,19.0
325,0.375,26,,26.0
326,0.375,30,,16.0
327,0.375,31,,5.0
328,0.375,34,,4.0
329,0.375,27,,6.0
330,0.375,39,,39.0
331,0.375,35,,18.0
332,0.375,32,,32.0
333,0.375,40,,40.0
334,0.375,25,,14.0
335,0.375,19,,19.0
336,0.375,27,,11.0
337,0.375,19,,19.0
338,0.375,37,,37.0
339,0.375,41,,41.0
340,0.375,33,,33.0
341,0.375,32,,32.0
342,0.375,21,,21.0
343,0.375,40,,3.0
344,0.375,32,,7.0
345,0.375,40,,6.0
346,0.375,32,,8.0
347,0.375,29,,29.0
348,0.375,27,,0.0
349,0.375,40,,7.0
350,0.375,27,,27.0
351,0.375,42,,6.0
352,0.375,22,,11.0
353,0.375,42,,42.0
354,0.375,29,,5.0
355,0.375,33,,5.0
356,0.375,13,,13.0
357,0.375,28,,4.0
358,0.375,33,,33.0
359,0.375,34,,34.0
360,0.375,9,,9.0
361,0.375,28,,5.0
362,0.375,12,,3.0
363,0.375,19,,4.0
364,0.375,26,,0.0
365,0.375,33,,0.0
366,0.375,27,,27.0
367,0.375,33,,33.0
368,0.375,33,,33.0
369,0.375,33,,33.0
370,0.375,35,,19.0
371,0.375,22,,22.0
372,0.375,16,,7.0
373,0.375,27,,25.0
374,0.375,36,,15.0
375,0.375,39,,39.0
376,0.375,46,,29.0
377,0.375,33,,33.0
378,0.375,33,,21.0
379,0.375,32,,32.0
380,0.375,27,,16.0
381,0.375,25,,0.0
382,0.375,33,,33.0
383,0.375,40,,40.0
384,0.375,33,,5.0
385,0.375,32,,4.0
386,0.375,25,,8.0
387,0.375,40,,28.0
388,0.375,17,,2.0
389,0.375,33,,33.0
390,0.375,39,,39.0
391,0.375,27,,27.0
392,0.375,23,,12.0
393,0.375,32,,32.0
394,0.375,25,,10.0
395,0.375,43,,43.0
396,0.375,30,,3.0
397,0.375,28,,28.0
398,0.375,19,,19.0
399,0.375,26,,26.0
400,0.375,32,,27.0
401,0.375,12,,0.0
402,0.375,14,,0.0
403,0.375,8,,8.0
404,0.375,27,,7.0
405,0.375,32,,3.0
406,0.375,34,,6.0
407,0.375,29,,4.0
408,0.375,23,,13.0
409,0.375,23,,1.0
410,0.375,46,,46.0
411,0.375,44,,4.0
412,0.375,29,,21.0
413,0.375,31,,16.0
414,0.375,35,,22.0
415,0.375,32,,12.0
416,0.375,32,,32.0
417,0.375,25,,6.0
418,0.375,33,,33.0
419,0.375,40,,23.0
420,0.375,26,,9.0
421,0.375,27,,8.0
422,0.375,35,,5.0
423,0.375,18,,18.0
424,0.375,22,,18.0
425,0.375,32,,32.0
426,0.375,31,,6.0
427,0.375,36,,36.0
428,0.375,24,,24.0
429,0.375,29,,5.0
430,0.375,18,,18.0
431,0.375,15,,4.0
432,0.375,23,,11.0
433,0.375,36,,36.0
434,0.375,26,,6.0
435,0.375,22,,4.0
436,0.375,28,,28.0
437,0.375,26,,26.0
438,0.375,39,,30.0
439,0.375,27,,20.0
440,0.375,13,,13.0
441,0.375,31,,8.0
442,0.375,30,,9.0
443,0.375,36,,7.0
444,0.375,39,,5.0
445,0.375,26,,16.0
446,0.375,29,,22.0
447,0.375,37,,4.0
448,0.375,29,,7.0
449,0.375,29,,29.0
450,0.375,39,,39.0
451,0.375,26,,26.0
452,0.375,23,,23.0
453,0.375,33,,33.0
454,0.375,32,,7.0
455,0.375,37,,37.0
456,0.375,30,,30.0
457,0.375,17,,8.0
458,0.375,21,,9.0
459,0.375,30,,4.0
460,0.375,33,,10.0
461,0.375,29,,11.0
462,0.375,36,,36.0
463,0.375,22,,11.0
464,0.375,34,,22.0
465,0.375,31,,31.0
466,0.375,35,,9.0
467,0.375,29,,0.0
468,0.375,14,,0.0
469,0.375,45,,45.0
470,0.375,17,,13.0
471,0.375,31,,12.0
472,0.375,39,,39.0
473,0.375,41,,4.0
474,0.375,14,,14.0
475,0.375,27,,27.0
476,0.375,32,,32.0
477,0.375,38,,10.0
478,0.375,27,,24.0
479,0.375,28,,3.0
480,0.375,36,,36.0
481,0.375,38,,5.0
482,0.375,26,,4.0
483,0.375,23,,23.0
484,0.375,18,,18.0
485,0.375,27,,8.0
486,0.375,35,,5.0
487,0.375,28,,1.0
488,0.375,25,,14.0
489,0.375,32,,17.0
490,0.375,23,,23.0
491,0.375,23,,23.0
492,0.375,34,,34.0
493,0.375,43,,43.0
494,0.375,37,,34.0
495,0.375,48,,48.0
496,0.375,39,,39.0
497,0.375,28,,0.0
498,0.375,36,,36.0
499,0.375,31,,4.0
