,lambd,p,nnz,k
307,0.125,64,,64.0
308,0.125,64,,64.0
309,0.125,64,,64.0
310,0.125,64,,64.0
311,0.125,64,,39.0
312,0.125,64,,26.0
313,0.125,64,,64.0
314,0.125,64,,64.0
315,0.125,64,,64.0
316,0.125,64,,62.0
317,0.125,64,,64.0
318,0.125,64,,64.0
319,0.125,64,,64.0
320,0.125,64,,64.0
321,0.125,64,,64.0
322,0.125,64,,64.0
323,0.125,64,,46.0
324,0.125,64,,64.0
325,0.125,64,,64.0
326,0.125,64,,64.0
327,0.125,64,,64.0
328,0.125,64,,12.0
329,0.125,64,,57.0
330,0.125,64,,64.0
331,0.125,64,,64.0
332,0.125,64,,59.0
333,0.125,64,,48.0
334,0.125,64,,64.0
335,0.125,64,,64.0
336,0.125,64,,64.0
337,0.125,64,,64.0
338,0.125,64,,64.0
339,0.125,64,,64.0
340,0.125,64,,64.0
341,0.125,64,,64.0
342,0.125,64,,64.0
343,0.125,64,,64.0
344,0.125,64,,62.0
345,0.125,64,,0.0
346,0.125,64,,23.0
347,0.125,64,,64.0
348,0.125,64,,31.0
349,0.125,64,,64.0
350,0.125,64,,64.0
351,0.125,64,,64.0
352,0.125,64,,64.0
353,0.125,64,,64.0
354,0.125,64,,45.0
355,0.125,64,,51.0
356,0.125,64,,47.0
357,0.125,64,,64.0
358,0.125,64,,64.0
359,0.125,64,,20.0
360,0.125,64,,64.0
361,0.125,64,,64.0
362,0.125,64,,64.0
363,0.125,64,,56.0
364,0.125,64,,64.0
365,0.125,64,,64.0
366,0.125,64,,64.0
367,0.125,64,,18.0
368,0.125,64,,46.0
369,0.125,64,,64.0
370,0.125,64,,61.0
371,0.125,64,,64.0
372,0.125,64,,10.0
373,0.125,64,,64.0
374,0.125,64,,56.0
375,0.125,64,,64.0
376,0.125,64,,64.0
377,0.125,64,,11.0
378,0.125,64,,64.0
379,0.125,64,,45.0
380,0.125,64,,64.0
381,0.125,64,,64.0
382,0.125,64,,64.0
383,0.125,64,,28.0
384,0.125,64,,64.0
385,0.125,64,,22.0
386,0.125,64,,21.0
387,0.125,64,,62.0
388,0.125,64,,64.0
389,0.125,64,,64.0
390,0.125,64,,64.0
391,0.125,64,,20.0
392,0.125,64,,29.0
393,0.125,64,,64.0
394,0.125,64,,48.0
395,0.125,64,,60.0
396,0.125,64,,64.0
397,0.125,64,,64.0
398,0.125,64,,62.0
399,0.125,64,,64.0
400,0.125,64,,25.0
401,0.125,64,,58.0
402,0.125,64,,44.0
403,0.125,64,,64.0
404,0.125,64,,64.0
405,0.125,64,,41.0
406,0.125,64,,64.0
407,0.125,64,,64.0
408,0.125,64,,62.0
409,0.125,64,,24.0
410,0.125,64,,64.0
411,0.125,64,,64.0
412,0.125,64,,64.0
413,0.125,64,,64.0
414,0.125,64,,39.0
415,0.125,64,,14.0
416,0.125,64,,64.0
417,0.125,64,,64.0
418,0.125,64,,64.0
419,0.125,64,,25.0
420,0.125,64,,55.0
421,0.125,64,,64.0
422,0.125,64,,64.0
423,0.125,64,,25.0
424,0.125,64,,64.0
425,0.125,64,,64.0
426,0.125,64,,64.0
427,0.125,64,,64.0
428,0.125,64,,62.0
429,0.125,64,,33.0
430,0.125,64,,64.0
431,0.125,64,,35.0
432,0.125,64,,64.0
433,0.125,64,,64.0
434,0.125,64,,64.0
435,0.125,64,,64.0
436,0.125,64,,26.0
437,0.125,64,,64.0
438,0.125,64,,64.0
439,0.125,64,,54.0
440,0.125,64,,64.0
441,0.125,64,,64.0
442,0.125,64,,64.0
443,0.125,64,,64.0
444,0.125,64,,64.0
445,0.125,64,,22.0
446,0.125,64,,64.0
447,0.125,64,,64.0
448,0.125,64,,37.0
449,0.125,64,,23.0
450,0.125,64,,64.0
451,0.125,64,,64.0
452,0.125,64,,64.0
453,0.125,64,,64.0
454,0.125,64,,44.0
455,0.125,64,,64.0
456,0.125,64,,64.0
457,0.125,64,,64.0
458,0.125,64,,64.0
459,0.125,64,,48.0
460,0.125,64,,34.0
461,0.125,64,,64.0
462,0.125,64,,64.0
463,0.125,64,,64.0
464,0.125,64,,62.0
465,0.125,64,,53.0
466,0.125,64,,64.0
467,0.125,64,,64.0
468,0.125,64,,64.0
469,0.125,64,,64.0
470,0.125,64,,31.0
471,0.125,64,,64.0
472,0.125,64,,64.0
473,0.125,64,,64.0
474,0.125,64,,16.0
475,0.125,64,,64.0
476,0.125,64,,64.0
477,0.125,64,,64.0
478,0.125,64,,64.0
479,0.125,64,,64.0
480,0.125,64,,64.0
481,0.125,64,,64.0
482,0.125,64,,64.0
483,0.125,64,,64.0
484,0.125,64,,64.0
485,0.125,64,,57.0
486,0.125,64,,64.0
487,0.125,64,,64.0
488,0.125,64,,64.0
489,0.125,64,,64.0
490,0.125,64,,64.0
491,0.125,64,,64.0
492,0.125,64,,43.0
493,0.125,64,,64.0
494,0.125,64,,64.0
495,0.125,64,,64.0
496,0.125,64,,27.0
497,0.125,64,,64.0
498,0.125,64,,30.0
499,0.125,64,,64.0
