,lambd,p,nnz,k
330,0.375,64,,64.0
331,0.375,64,,64.0
332,0.375,64,,37.0
333,0.375,64,,54.0
334,0.375,64,,53.0
335,0.375,64,,64.0
336,0.375,64,,64.0
337,0.375,64,,64.0
338,0.375,64,,64.0
339,0.375,64,,64.0
340,0.375,64,,64.0
341,0.375,64,,64.0
342,0.375,64,,64.0
343,0.375,64,,64.0
344,0.375,64,,46.0
345,0.375,64,,38.0
346,0.375,64,,31.0
347,0.375,64,,44.0
348,0.375,64,,18.0
349,0.375,64,,64.0
350,0.375,64,,64.0
351,0.375,64,,64.0
352,0.375,64,,64.0
353,0.375,64,,57.0
354,0.375,64,,26.0
355,0.375,64,,54.0
356,0.375,64,,64.0
357,0.375,64,,64.0
358,0.375,64,,37.0
359,0.375,64,,9.0
360,0.375,64,,64.0
361,0.375,64,,64.0
362,0.375,64,,64.0
363,0.375,64,,64.0
364,0.375,64,,64.0
365,0.375,64,,64.0
366,0.375,64,,58.0
367,0.375,64,,64.0
368,0.375,64,,14.0
369,0.375,64,,64.0
370,0.375,64,,44.0
371,0.375,64,,50.0
372,0.375,64,,64.0
373,0.375,64,,64.0
374,0.375,64,,24.0
375,0.375,64,,38.0
376,0.375,64,,39.0
377,0.375,64,,64.0
378,0.375,64,,64.0
379,0.375,64,,47.0
380,0.375,64,,64.0
381,0.375,64,,64.0
382,0.375,64,,64.0
383,0.375,64,,14.0
384,0.375,64,,64.0
385,0.375,64,,42.0
386,0.375,64,,64.0
387,0.375,64,,64.0
388,0.375,64,,64.0
389,0.375,64,,64.0
390,0.375,64,,64.0
391,0.375,64,,21.0
392,0.375,64,,50.0
393,0.375,64,,64.0
394,0.375,64,,64.0
395,0.375,64,,18.0
396,0.375,64,,64.0
397,0.375,64,,64.0
398,0.375,64,,64.0
399,0.375,64,,64.0
400,0.375,64,,64.0
401,0.375,64,,21.0
402,0.375,64,,13.0
403,0.375,64,,64.0
404,0.375,64,,64.0
405,0.375,64,,64.0
406,0.375,64,,64.0
407,0.375,64,,64.0
408,0.375,64,,64.0
409,0.375,64,,54.0
410,0.375,64,,64.0
411,0.375,64,,64.0
412,0.375,64,,64.0
413,0.375,64,,64.0
414,0.375,64,,64.0
415,0.375,64,,9.0
416,0.375,64,,64.0
417,0.375,64,,64.0
418,0.375,64,,35.0
419,0.375,64,,15.0
420,0.375,64,,53.0
421,0.375,64,,64.0
422,0.375,64,,42.0
423,0.375,64,,31.0
424,0.375,64,,64.0
425,0.375,64,,64.0
426,0.375,64,,31.0
427,0.375,64,,64.0
428,0.375,64,,27.0
429,0.375,64,,28.0
430,0.375,64,,64.0
431,0.375,64,,50.0
432,0.375,64,,48.0
433,0.375,64,,64.0
434,0.375,64,,64.0
435,0.375,64,,27.0
436,0.375,64,,64.0
437,0.375,64,,46.0
438,0.375,64,,64.0
439,0.375,64,,64.0
440,0.375,64,,64.0
441,0.375,64,,44.0
442,0.375,64,,64.0
443,0.375,64,,64.0
444,0.375,64,,64.0
445,0.375,64,,40.0
446,0.375,64,,45.0
447,0.375,64,,64.0
448,0.375,64,,42.0
449,0.375,64,,29.0
450,0.375,64,,64.0
451,0.375,64,,64.0
452,0.375,64,,64.0
453,0.375,64,,64.0
454,0.375,64,,41.0
455,0.375,64,,64.0
456,0.375,64,,27.0
457,0.375,64,,64.0
458,0.375,64,,64.0
459,0.375,64,,32.0
460,0.375,64,,49.0
461,0.375,64,,30.0
462,0.375,64,,58.0
463,0.375,64,,64.0
464,0.375,64,,64.0
465,0.375,64,,36.0
466,0.375,64,,64.0
467,0.375,64,,64.0
468,0.375,64,,64.0
469,0.375,64,,64.0
470,0.375,64,,48.0
471,0.375,64,,50.0
472,0.375,64,,9.0
473,0.375,64,,64.0
474,0.375,64,,64.0
475,0.375,64,,41.0
476,0.375,64,,60.0
477,0.375,64,,64.0
478,0.375,64,,56.0
479,0.375,64,,64.0
480,0.375,64,,64.0
481,0.375,64,,41.0
482,0.375,64,,64.0
483,0.375,64,,64.0
484,0.375,64,,64.0
485,0.375,64,,55.0
486,0.375,64,,64.0
487,0.375,64,,64.0
488,0.375,64,,64.0
489,0.375,64,,64.0
490,0.375,64,,57.0
491,0.375,64,,30.0
492,0.375,64,,56.0
493,0.375,64,,64.0
494,0.375,64,,52.0
495,0.375,64,,64.0
496,0.375,64,,47.0
497,0.375,64,,64.0
498,0.375,64,,64.0
499,0.375,64,,16.0
