,lambd,p,nnz,k
131,0.25,29,,15.0
132,0.25,34,,12.0
133,0.25,31,,17.0
134,0.25,38,,20.0
135,0.25,12,,6.0
136,0.25,23,,10.0
137,0.25,29,,29.0
138,0.25,24,,24.0
139,0.25,33,,6.0
140,0.25,27,,13.0
141,0.25,7,,4.0
142,0.25,41,,41.0
143,0.25,36,,7.0
144,0.25,27,,12.0
145,0.25,17,,4.0
146,0.25,34,,34.0
147,0.25,29,,29.0
148,0.25,22,,22.0
149,0.25,57,,57.0
150,0.25,29,,29.0
151,0.25,37,,37.0
152,0.25,27,,21.0
153,0.25,31,,0.0
154,0.25,28,,28.0
155,0.25,30,,30.0
156,0.25,18,,0.0
157,0.25,35,,11.0
158,0.25,36,,20.0
159,0.25,34,,12.0
160,0.25,35,,35.0
161,0.25,30,,10.0
162,0.25,24,,10.0
163,0.25,15,,15.0
164,0.25,40,,40.0
165,0.25,32,,23.0
166,0.25,31,,3.0
167,0.25,29,,0.0
168,0.25,25,,0.0
169,0.25,26,,0.0
170,0.25,28,,11.0
171,0.25,32,,19.0
172,0.25,31,,5.0
173,0.25,28,,28.0
174,0.25,24,,17.0
175,0.25,36,,36.0
176,0.25,32,,28.0
177,0.25,29,,29.0
178,0.25,27,,7.0
179,0.25,44,,44.0
180,0.25,36,,17.0
181,0.25,30,,30.0
182,0.25,24,,24.0
183,0.25,37,,14.0
184,0.25,26,,16.0
185,0.25,24,,24.0
186,0.25,17,,11.0
187,0.25,25,,9.0
188,0.25,18,,0.0
189,0.25,35,,7.0
190,0.25,37,,35.0
191,0.25,20,,10.0
192,0.25,27,,27.0
193,0.25,20,,10.0
194,0.25,26,,0.0
195,0.25,29,,29.0
196,0.25,28,,28.0
197,0.25,31,,16.0
198,0.25,30,,8.0
199,0.25,28,,28.0
200,0.25,22,,22.0
201,0.25,27,,27.0
202,0.25,35,,35.0
203,0.25,29,,18.0
204,0.25,20,,17.0
205,0.25,48,,48.0
206,0.25,33,,26.0
207,0.25,17,,17.0
208,0.25,42,,7.0
209,0.25,33,,27.0
210,0.25,34,,34.0
211,0.25,39,,11.0
212,0.25,33,,13.0
213,0.25,27,,27.0
214,0.25,12,,12.0
215,0.25,26,,7.0
216,0.25,38,,38.0
217,0.25,28,,28.0
218,0.25,31,,31.0
219,0.25,27,,27.0
220,0.25,49,,5.0
221,0.25,32,,20.0
222,0.25,16,,16.0
223,0.25,42,,2.0
224,0.25,24,,24.0
225,0.25,34,,34.0
226,0.25,34,,16.0
227,0.25,18,,6.0
228,0.25,36,,36.0
229,0.25,26,,26.0
230,0.25,23,,23.0
231,0.25,36,,36.0
232,0.25,28,,10.0
233,0.25,27,,25.0
234,0.25,31,,4.0
235,0.25,28,,0.0
236,0.25,25,,3.0
237,0.25,29,,29.0
238,0.25,28,,0.0
239,0.25,34,,34.0
240,0.25,43,,16.0
241,0.25,30,,22.0
242,0.25,28,,28.0
243,0.25,27,,16.0
244,0.25,31,,31.0
245,0.25,35,,18.0
246,0.25,29,,29.0
247,0.25,37,,6.0
248,0.25,25,,25.0
249,0.25,33,,29.0
250,0.25,30,,19.0
251,0.25,38,,6.0
252,0.25,28,,28.0
253,0.25,32,,29.0
254,0.25,17,,14.0
255,0.25,26,,26.0
256,0.25,31,,0.0
257,0.25,32,,18.0
258,0.25,37,,37.0
259,0.25,25,,0.0
260,0.25,30,,7.0
261,0.25,37,,22.0
262,0.25,33,,33.0
263,0.25,37,,37.0
264,0.25,39,,39.0
265,0.25,38,,38.0
266,0.25,25,,25.0
267,0.25,37,,10.0
268,0.25,29,,29.0
269,0.25,25,,9.0
270,0.25,21,,10.0
271,0.25,34,,34.0
272,0.25,32,,32.0
273,0.25,34,,4.0
274,0.25,21,,5.0
275,0.25,18,,0.0
276,0.25,32,,32.0
277,0.25,12,,0.0
278,0.25,18,,11.0
279,0.25,29,,29.0
280,0.25,21,,21.0
281,0.25,31,,31.0
282,0.25,28,,16.0
283,0.25,24,,24.0
284,0.25,28,,28.0
285,0.25,30,,6.0
286,0.25,38,,38.0
287,0.25,27,,7.0
288,0.25,35,,35.0
289,0.25,34,,34.0
290,0.25,23,,7.0
291,0.25,37,,37.0
292,0.25,44,,44.0
293,0.25,19,,2.0
294,0.25,32,,21.0
295,0.25,36,,12.0
296,0.25,41,,5.0
297,0.25,46,,46.0
298,0.25,32,,9.0
299,0.25,27,,27.0
300,0.25,23,,5.0
301,0.25,50,,19.0
302,0.25,35,,6.0
303,0.25,42,,0.0
304,0.25,21,,21.0
305,0.25,28,,28.0
306,0.25,19,,0.0
307,0.25,19,,9.0
308,0.25,37,,5.0
309,0.25,17,,17.0
310,0.25,49,,49.0
311,0.25,35,,26.0
312,0.25,30,,16.0
313,0.25,22,,22.0
314,0.25,28,,10.0
315,0.25,23,,0.0
316,0.25,28,,28.0
317,0.25,47,,8.0
318,0.25,20,,3.0
319,0.25,22,,0.0
320,0.25,34,,13.0
321,0.25,21,,15.0
322,0.25,35,,35.0
323,0.25,26,,26.0
324,0.25,19,,1.0
325,0.25,26,,2.0
326,0.25,30,,30.0
327,0.25,31,,0.0
328,0.25,34,,6.0
329,0.25,27,,27.0
330,0.25,39,,39.0
331,0.25,35,,35.0
332,0.25,32,,32.0
333,0.25,40,,40.0
334,0.25,25,,6.0
335,0.25,19,,0.0
336,0.25,27,,16.0
337,0.25,19,,19.0
338,0.25,37,,37.0
339,0.25,41,,41.0
340,0.25,33,,33.0
341,0.25,32,,32.0
342,0.25,21,,5.0
343,0.25,40,,21.0
344,0.25,32,,9.0
345,0.25,40,,40.0
346,0.25,32,,6.0
347,0.25,29,,29.0
348,0.25,27,,27.0
349,0.25,40,,11.0
350,0.25,27,,27.0
351,0.25,42,,18.0
352,0.25,22,,0.0
353,0.25,42,,42.0
354,0.25,29,,29.0
355,0.25,33,,11.0
356,0.25,13,,5.0
357,0.25,28,,28.0
358,0.25,33,,33.0
359,0.25,34,,34.0
360,0.25,9,,4.0
361,0.25,28,,28.0
362,0.25,12,,12.0
363,0.25,19,,19.0
364,0.25,26,,7.0
365,0.25,33,,0.0
366,0.25,27,,27.0
367,0.25,33,,33.0
368,0.25,33,,8.0
369,0.25,33,,33.0
370,0.25,35,,8.0
371,0.25,22,,1.0
372,0.25,16,,16.0
373,0.25,27,,18.0
374,0.25,36,,36.0
375,0.25,39,,39.0
376,0.25,46,,17.0
377,0.25,33,,33.0
378,0.25,33,,0.0
379,0.25,32,,27.0
380,0.25,27,,18.0
381,0.25,25,,8.0
382,0.25,33,,33.0
383,0.25,40,,40.0
384,0.25,33,,13.0
385,0.25,32,,16.0
386,0.25,25,,25.0
387,0.25,40,,40.0
388,0.25,17,,0.0
389,0.25,33,,33.0
390,0.25,39,,16.0
391,0.25,27,,27.0
392,0.25,23,,23.0
393,0.25,32,,32.0
394,0.25,25,,12.0
395,0.25,43,,43.0
396,0.25,30,,30.0
397,0.25,28,,28.0
398,0.25,19,,19.0
399,0.25,26,,26.0
400,0.25,32,,32.0
401,0.25,12,,0.0
402,0.25,14,,3.0
403,0.25,8,,8.0
404,0.25,27,,13.0
405,0.25,32,,0.0
406,0.25,34,,34.0
407,0.25,29,,22.0
408,0.25,23,,23.0
409,0.25,23,,23.0
410,0.25,46,,46.0
411,0.25,44,,7.0
412,0.25,29,,21.0
413,0.25,31,,26.0
414,0.25,35,,35.0
415,0.25,32,,13.0
416,0.25,32,,32.0
417,0.25,25,,12.0
418,0.25,33,,33.0
419,0.25,40,,40.0
420,0.25,26,,26.0
421,0.25,27,,21.0
422,0.25,35,,0.0
423,0.25,18,,18.0
424,0.25,22,,22.0
425,0.25,32,,32.0
426,0.25,31,,23.0
427,0.25,36,,36.0
428,0.25,24,,24.0
429,0.25,29,,8.0
430,0.25,18,,18.0
431,0.25,15,,9.0
432,0.25,23,,18.0
433,0.25,36,,28.0
434,0.25,26,,14.0
435,0.25,22,,16.0
436,0.25,28,,15.0
437,0.25,26,,18.0
438,0.25,39,,39.0
439,0.25,27,,27.0
440,0.25,13,,7.0
441,0.25,31,,31.0
442,0.25,30,,10.0
443,0.25,36,,32.0
444,0.25,39,,39.0
445,0.25,26,,12.0
446,0.25,29,,12.0
447,0.25,37,,14.0
448,0.25,29,,9.0
449,0.25,29,,29.0
450,0.25,39,,39.0
451,0.25,26,,26.0
452,0.25,23,,23.0
453,0.25,33,,33.0
454,0.25,32,,25.0
455,0.25,37,,37.0
456,0.25,30,,30.0
457,0.25,17,,17.0
458,0.25,21,,18.0
459,0.25,30,,3.0
460,0.25,33,,33.0
461,0.25,29,,29.0
462,0.25,36,,36.0
463,0.25,22,,0.0
464,0.25,34,,15.0
465,0.25,31,,31.0
466,0.25,35,,35.0
467,0.25,29,,7.0
468,0.25,14,,0.0
469,0.25,45,,40.0
470,0.25,17,,0.0
471,0.25,31,,26.0
472,0.25,39,,39.0
473,0.25,41,,41.0
474,0.25,14,,9.0
475,0.25,27,,13.0
476,0.25,32,,32.0
477,0.25,38,,17.0
478,0.25,27,,9.0
479,0.25,28,,11.0
480,0.25,36,,36.0
481,0.25,38,,11.0
482,0.25,26,,7.0
483,0.25,23,,23.0
484,0.25,18,,2.0
485,0.25,27,,0.0
486,0.25,35,,11.0
487,0.25,28,,28.0
488,0.25,25,,6.0
489,0.25,32,,0.0
490,0.25,23,,23.0
491,0.25,23,,23.0
492,0.25,34,,34.0
493,0.25,43,,43.0
494,0.25,37,,5.0
495,0.25,48,,48.0
496,0.25,39,,39.0
497,0.25,28,,0.0
498,0.25,36,,36.0
499,0.25,31,,6.0
